Time_sec,Data
0,0.501
0.1,0.501
0.2,0.501
0.3,0.501
0.4,0.501
0.5,0.501
0.6,0.501
0.7,0.501
0.8,0.501
0.9,0.502
1,0.503
1.1,0.503
1.2,0.503
1.3,0.504
1.4,0.505
1.5,0.505
1.6,0.506
1.7,0.507
1.8,0.5075
1.9,0.509
2,0.509
2.1,0.508
2.2,0.508
2.3,0.508
2.4,0.506
2.5,0.5075
2.6,0.509
2.7,0.51
2.8,0.513
2.9,0.517
3,0.519
3.1,0.522
3.2,0.525
3.3,0.529
3.4,0.533
3.5,0.536
3.6,0.537
3.7,0.539
3.8,0.54
3.9,0.54
4,0.54
4.1,0.54
4.2,0.539
4.3,0.539
4.4,0.539
4.5,0.538
4.6,0.538
4.7,0.537
4.8,0.537
4.9,0.538
5,0.539
5.1,0.54
5.2,0.54
5.3,0.54
5.4,0.54
5.5,0.54
5.6,0.541
5.7,0.541
5.8,0.541
5.9,0.541
6,0.54
6.1,0.54
6.2,0.54
6.3,0.54
6.4,0.54
6.5,0.54
6.6,0.54
6.7,0.54
6.8,0.54
6.9,0.54
7,0.538
7.1,0.538
7.2,0.537
7.3,0.537
7.4,0.537
7.5,0.537
7.6,0.537
7.7,0.537
7.8,0.537
7.9,0.537
8,0.537
8.1,0.536
8.2,0.536
8.3,0.536
8.4,0.536
8.5,0.535
8.6,0.535
8.7,0.535
8.8,0.535
8.9,0.536
9,0.537
9.1,0.537
9.2,0.537
9.3,0.537
9.4,0.537
9.5,0.537
9.6,0.537
9.7,0.537
9.8,0.537
9.9,0.537
10,0.538
10.1,0.538
10.2,0.538
10.3,0.538
10.4,0.538
10.5,0.538
10.6,0.538
10.7,0.538
10.8,0.537
10.9,0.535
11,0.535
11.1,0.533
11.2,0.532
11.3,0.53
11.4,0.528
11.5,0.526
11.6,0.525
11.7,0.521
11.8,0.519
11.9,0.515
12,0.5115
12.1,0.507
12.2,0.504
12.3,0.501
12.4,0.497
12.5,0.491
12.6,0.487
12.7,0.4825
12.8,0.474
12.9,0.469
13,0.464
13.1,0.46
13.2,0.46
13.3,0.458
13.4,0.454
13.5,0.452
13.6,0.449
13.7,0.444
13.8,0.439
13.9,0.437
14,0.435
14.1,0.434
14.2,0.43
14.3,0.4275
14.4,0.426
14.5,0.42
14.6,0.419
14.7,0.413
14.8,0.4085
14.9,0.4055
15,0.402
15.1,0.396
15.2,0.389
15.3,0.383
15.4,0.38
15.5,0.376
15.6,0.371
15.7,0.368
15.8,0.368
15.9,0.3685
16,0.367
16.1,0.364
16.2,0.363
16.3,0.359
16.4,0.355
16.5,0.353
16.6,0.349
16.7,0.344
16.8,0.337
16.9,0.333
17,0.328
17.1,0.323
17.2,0.318
17.3,0.312
17.4,0.306
17.5,0.303
17.6,0.302
17.7,0.3
17.8,0.298
17.9,0.296
18,0.294
18.1,0.293
18.2,0.291
18.3,0.289
18.4,0.286
18.5,0.2845
18.6,0.2835
18.7,0.282
18.8,0.279
18.9,0.276
19,0.275
19.1,0.272
19.2,0.271
19.3,0.269
19.4,0.269
19.5,0.267
19.6,0.263
19.7,0.247
19.8,0.243
19.9,0.237
20,0.232
20.1,0.229
20.2,0.229
20.3,0.224
20.4,0.219
20.5,0.214
20.6,0.209
20.7,0.2065
20.8,0.2
