Time_sec,Data
0,-0.0088257
0.04,-0.0088257
0.08,-0.0088257
0.12,-0.0088257
0.16,-0.0088257
0.2,-0.0088257
0.24,-0.0088257
0.28,-0.0088257
0.32,-0.0088257
0.36,-0.0088257
0.4,-0.0088257
0.44,-0.0088257
0.48,-0.0088257
0.52,-0.0088257
0.56,-0.0088257
0.6,-0.0038257
0.64,0.0011743
0.68,0.0045076
0.72,0.0061743
0.76,0.0061743
0.8,0.007841
0.84,-0.0054924
0.88,-0.0038257
0.92,-0.002159
0.96,0.0011743
1,0.002841
1.04,-0.00049237
1.08,0.0045076
1.12,0.007841
1.16,0.0095076
1.2,0.014508
1.24,0.017841
1.28,0.021174
1.32,0.024508
1.36,0.026174
1.4,0.027841
1.44,0.027841
1.48,0.029508
1.52,0.029508
1.56,0.029508
1.6,0.031174
1.64,0.031174
1.68,0.031174
1.72,0.034508
1.76,0.034508
1.8,0.034508
1.84,0.034508
1.88,0.039508
1.92,0.041174
1.96,0.044508
2,0.046174
2.04,0.046174
2.08,0.049508
2.12,0.057841
2.16,0.061174
2.2,0.059508
2.24,0.062841
2.28,0.064508
2.32,0.067841
2.36,0.074508
2.4,0.079508
2.44,0.077841
2.48,0.076174
2.52,0.076174
2.56,0.079508
2.6,0.077841
2.64,0.076174
2.68,0.076174
2.72,0.077841
2.76,0.079508
2.8,0.081174
2.84,0.086174
2.88,0.089508
2.92,0.087841
2.96,0.091174
3,0.094508
3.04,0.097841
3.08,0.10451
3.12,0.11117
3.16,0.11117
3.2,0.11951
3.24,0.12451
3.28,0.12951
3.32,0.13284
3.36,0.13284
3.4,0.13284
3.44,0.13284
3.48,0.13284
3.52,0.13284
3.56,0.13284
3.6,0.13284
3.64,0.13617
3.68,0.13784
3.72,0.13784
3.76,0.13784
3.8,0.13951
3.84,0.13784
3.88,0.13784
3.92,0.13784
3.96,0.13784
4,0.13951
4.04,0.14284
4.08,0.14284
4.12,0.14284
4.16,0.14784
4.2,0.15284
4.24,0.15451
4.28,0.15784
4.32,0.15951
4.36,0.16117
4.4,0.16451
4.44,0.16451
4.48,0.16784
4.52,0.16951
4.56,0.17117
4.6,0.17284
