Time_sec,Data
0,-0.022363
0.04,-0.022363
0.08,-0.022363
0.12,-0.022363
0.16,-0.022363
0.2,-0.022363
0.24,-0.022363
0.28,-0.022363
0.32,-0.022363
0.36,-0.022363
0.4,-0.022363
0.44,-0.022363
0.48,-0.022363
0.52,-0.022363
0.56,-0.022363
0.6,-0.022363
0.64,-0.022363
0.68,-0.022363
0.72,-0.020697
0.76,-0.020697
0.8,-0.017363
0.84,-0.010697
0.88,-0.0056966
0.92,-0.00403
0.96,-0.0023633
1,-0.00069664
1.04,0.00597
1.08,0.01097
1.12,0.01097
1.16,0.012637
1.2,0.014303
1.24,0.014303
1.28,0.01597
1.32,0.019303
1.36,0.02097
1.4,0.024303
1.44,0.027637
1.48,0.03097
1.52,0.034303
1.56,0.03597
1.6,0.04097
1.64,0.04597
1.68,0.049303
1.72,0.054303
1.76,0.06097
1.8,0.06597
1.84,0.067637
1.88,0.067637
1.92,0.067637
1.96,0.069303
2,0.069303
2.04,0.069303
2.08,0.07097
2.12,0.07097
2.16,0.074303
2.2,0.077637
2.24,0.079303
2.28,0.082637
2.32,0.08597
2.36,0.09097
2.4,0.089303
2.44,0.092637
2.48,0.094303
2.52,0.09597
2.56,0.10097
2.6,0.1043
2.64,0.1093
2.68,0.11597
2.72,0.11597
2.76,0.1193
2.8,0.1243
2.84,0.12764
2.88,0.13097
2.92,0.13264
2.96,0.13264
3,0.13097
3.04,0.1293
3.08,0.12764
3.12,0.12764
3.16,0.1243
3.2,0.12097
3.24,0.1193
3.28,0.1193
3.32,0.13097
3.36,0.1393
3.4,0.15097
3.44,0.1643
3.48,0.17264
3.52,0.18097
3.56,0.18597
3.6,0.19764
3.64,0.20764
3.68,0.2193
3.72,0.22597
3.76,0.2293
3.8,0.23097
3.84,0.2343
3.88,0.23764
3.92,0.24097
3.96,0.24597
4,0.24764
4.04,0.24764
4.08,0.2493
4.12,0.25097
4.16,0.25597
4.2,0.2593
4.24,0.26264
4.28,0.26597
4.32,0.2693
4.36,0.27764
4.4,0.28264
4.44,0.28597
4.48,0.28764
4.52,0.29264
4.56,0.2943
4.6,0.29597
4.64,0.29764
4.68,0.2993
4.72,0.30097
4.76,0.30264
4.8,0.3043
4.84,0.30597
4.88,0.30764
4.92,0.30764
4.96,0.30764
5,0.30764
5.04,0.30597
5.08,0.30764
5.12,0.30764
5.16,0.31097
5.2,0.3093
5.24,0.31097
5.28,0.31097
5.32,0.3143
5.36,0.31764
5.4,0.31597
5.44,0.31597
5.48,0.3143
5.52,0.3143
5.56,0.31264
5.6,0.31097
5.64,0.3093
5.68,0.3093
5.72,0.3093
5.76,0.31097
5.8,0.31097
5.84,0.31097
5.88,0.31097
5.92,0.31097
5.96,0.31264
6,0.31264
6.04,0.31264
6.08,0.31264
6.12,0.31264
6.16,0.31264
6.2,0.31097
6.24,0.3093
6.28,0.3093
6.32,0.30764
6.36,0.30764
6.4,0.30764
6.44,0.30597
6.48,0.30597
6.52,0.30597
6.56,0.30597
6.6,0.3043
6.64,0.30264
6.68,0.30264
6.72,0.30097
6.76,0.2993
6.8,0.29764
6.84,0.29597
6.88,0.29597
6.92,0.29764
6.96,0.2943
7,0.2893
7.04,0.28764
7.08,0.28097
7.12,0.27264
7.16,0.2643
7.2,0.2593
7.24,0.25264
7.28,0.25097
7.32,0.24764
7.36,0.2443
7.4,0.2443
7.44,0.24264
7.48,0.2393
7.52,0.2393
7.56,0.2343
7.6,0.23264
7.64,0.23097
7.68,0.23097
7.72,0.22597
7.76,0.22097
7.8,0.21597
7.84,0.21097
7.88,0.20597
7.92,0.20097
7.96,0.19597
8,0.19264
8.04,0.1893
8.08,0.1843
8.12,0.18097
8.16,0.1793
8.2,0.17764
8.24,0.17597
8.28,0.1743
8.32,0.1743
8.36,0.1743
8.4,0.17264
8.44,0.17264
8.48,0.17097
8.52,0.1693
8.56,0.17097
8.6,0.1693
8.64,0.1693
8.68,0.1643
8.72,0.1593
8.76,0.15764
8.8,0.15764
8.84,0.15764
8.88,0.15597
8.92,0.1543
8.96,0.1543
9,0.15097
9.04,0.1493
9.08,0.1493
9.12,0.14764
9.16,0.1443
9.2,0.14264
9.24,0.13764
9.28,0.13597
9.32,0.13264
9.36,0.13097
9.4,0.1293
9.44,0.12764
9.48,0.1293
9.52,0.12764
9.56,0.12764
9.6,0.12764
9.64,0.12597
9.68,0.1243
9.72,0.12264
9.76,0.12264
9.8,0.12097
9.84,0.11764
9.88,0.11264
9.92,0.11097
9.96,0.1093
10,0.109303
10.04,0.109303
10.08,0.109303
10.12,0.11097
10.16,0.11097
10.2,0.114303
10.24,0.117637
10.28,0.122637
10.32,0.12597
10.36,0.124303
10.4,0.119303
10.44,0.11597
10.48,0.114303
10.52,0.109303
10.56,0.107637
10.6,0.107637
10.64,0.107637
10.68,0.109303
10.72,0.109303
10.76,0.109303
10.8,0.112637
10.84,0.117637
10.88,0.12097
10.92,0.122637
10.96,0.12597
11,0.13097
