Time(sec),Data
0,0.4666666667
10,0.4666666667
20,0.2666666667
23.3333333333,0.2666666667
26.6666666667,0.8666666667
33.3333333333,0.8666666667
36.6666666667,0.2666666667
45,0.4666666667
48.3333333333,0.4666666667
51.6666666667,0.4666666667
61.6666666667,0.1333333333
65,0.4
68.3333333333,0.7333333333
75,0.3333333333
78.3333333333,0.2666666667
86.6666666667,0.2
90,0.4666666667
143.3333333333,0.4666666667
146.6666666667,0
160,0.4666666667
163.3333333333,0.4666666667
173.3333333333,0.1333333333
176.6666666667,0.4
180,0.7333333333
186.6666666667,0.3333333333
190,0.2666666667
198.3333333333,0.2
201.6666666667,0.4666666667
203.6666666667,0.4666666667
206.3333333333,0.9333333333
208,0.4
209,0.2666666667
212.3333333333,0.5333333333
214.6666666667,0.6
219.6666666667,0.2
221.3333333333,0.4666666667
231.3333333333,0.4666666667
241.3333333333,0.2666666667
244.6666666667,0.2666666667
248,0.8666666667
254.6666666667,0.8666666667
258,0.2666666667
266.3333333333,0.4666666667
269.6666666667,0.4666666667
