Time(sec),Saturation
0,0.46667
0.0333333333,0.46667
0.0666666667,0.46667
0.1,0.46667
0.1333333333,0.46667
0.1666666667,0.46667
0.2,0.46667
0.2333333333,0.46667
0.2666666667,0.46667
0.3,0.46667
0.3333333333,0.46667
0.3666666667,0.46667
0.4,0.46667
0.4333333333,0.46667
0.4666666667,0.46667
0.5,0.46667
0.5333333333,0.46667
0.5666666667,0.46667
0.6,0.46667
0.6333333333,0.46667
0.6666666667,0.46667
0.7,0.46667
0.7333333333,0.46667
0.7666666667,0.46667
0.8,0.46667
0.8333333333,0.46667
0.8666666667,0.46667
0.9,0.46667
0.9333333333,0.46667
0.9666666667,0.46667
1,0.46667
1.0333333333,0.46667
1.0666666667,0.46667
1.1,0.46667
1.1333333333,0.46667
1.1666666667,0.46667
1.2,0.46667
1.2333333333,0.46667
1.2666666667,0.46667
1.3,0.46667
1.3333333333,0.46667
1.3666666667,0.46667
1.4,0.46667
1.4333333333,0.46667
1.4666666667,0.46667
1.5,0.46667
1.5333333333,0.46667
1.5666666667,0.46667
1.6,0.46667
1.6333333333,0.46667
1.6666666667,0.46667
1.7,0.46667
1.7333333333,0.46667
1.7666666667,0.46667
1.8,0.46667
1.8333333333,0.46667
1.8666666667,0.46667
1.9,0.46667
1.9333333333,0.46667
1.9666666667,0.46667
2,0.46667
2.0333333333,0.46667
2.0666666667,0.46667
2.1,0.46667
2.1333333333,0.46667
2.1666666667,0.46667
2.2,0.46667
2.2333333333,0.46667
2.2666666667,0.46667
2.3,0.46667
2.3333333333,0.46667
2.3666666667,0.46667
2.4,0.46667
2.4333333333,0.46667
2.4666666667,0.46667
2.5,0.46667
2.5333333333,0.46667
2.5666666667,0.46667
2.6,0.46667
2.6333333333,0.46667
2.6666666667,0.46667
2.7,0.46667
2.7333333333,0.46667
2.7666666667,0.46667
2.8,0.46667
2.8333333333,0.46667
2.8666666667,0.46667
2.9,0.46667
2.9333333333,0.46667
2.9666666667,0.46667
3,0.46667
3.0333333333,0.46667
3.0666666667,0.46667
3.1,0.46667
3.1333333333,0.46667
3.1666666667,0.46667
3.2,0.46667
3.2333333333,0.46667
3.2666666667,0.46667
3.3,0.46667
3.3333333333,0.46667
3.3666666667,0.46667
3.4,0.46667
3.4333333333,0.46667
3.4666666667,0.46667
3.5,0.46667
3.5333333333,0.46667
3.5666666667,0.46667
3.6,0.46667
3.6333333333,0.46667
3.6666666667,0.46667
3.7,0.46667
3.7333333333,0.46667
3.7666666667,0.46667
3.8,0.46667
3.8333333333,0.46667
3.8666666667,0.46667
3.9,0.46667
3.9333333333,0.46667
3.9666666667,0.46667
4,0.46667
4.0333333333,0.46667
4.0666666667,0.46667
4.1,0.46667
4.1333333333,0.46667
4.1666666667,0.46667
4.2,0.46667
4.2333333333,0.46667
4.2666666667,0.46667
4.3,0.46667
4.3333333333,0.46667
4.3666666667,0.46667
4.4,0.46667
4.4333333333,0.46667
4.4666666667,0.46667
4.5,0.46667
4.5333333333,0.46667
4.5666666667,0.46667
4.6,0.46667
4.6333333333,0.46667
4.6666666667,0.46667
4.7,0.46667
4.7333333333,0.46667
4.7666666667,0.46667
4.8,0.46667
4.8333333333,0.46667
4.8666666667,0.46667
4.9,0.46667
4.9333333333,0.46667
4.9666666667,0.46667
5,0.46667
5.0333333333,0.46667
5.0666666667,0.46667
5.1,0.46667
5.1333333333,0.46667
5.1666666667,0.46667
5.2,0.46667
5.2333333333,0.46667
5.2666666667,0.46667
5.3,0.46667
5.3333333333,0.46667
5.3666666667,0.46667
5.4,0.46667
5.4333333333,0.46667
5.4666666667,0.46667
5.5,0.46667
5.5333333333,0.46667
5.5666666667,0.46667
5.6,0.46667
5.6333333333,0.46667
5.6666666667,0.46667
5.7,0.46667
5.7333333333,0.46667
5.7666666667,0.46667
5.8,0.46667
5.8333333333,0.46667
5.8666666667,0.46667
5.9,0.46667
5.9333333333,0.46667
5.9666666667,0.46667
6,0.46667
6.0333333333,0.46667
6.0666666667,0.46667
6.1,0.46667
6.1333333333,0.46667
6.1666666667,0.46667
6.2,0.46667
6.2333333333,0.46667
6.2666666667,0.46667
6.3,0.46667
6.3333333333,0.46667
6.3666666667,0.46667
6.4,0.46667
6.4333333333,0.46667
6.4666666667,0.46667
6.5,0.46667
6.5333333333,0.46667
6.5666666667,0.46667
6.6,0.46667
6.6333333333,0.46667
6.6666666667,0.46667
6.7,0.46667
6.7333333333,0.46667
6.7666666667,0.46667
6.8,0.46667
6.8333333333,0.46667
6.8666666667,0.46667
6.9,0.46667
6.9333333333,0.46667
6.9666666667,0.46667
7,0.46667
7.0333333333,0.46667
7.0666666667,0.46667
7.1,0.46667
7.1333333333,0.46667
7.1666666667,0.46667
7.2,0.46667
7.2333333333,0.46667
7.2666666667,0.46667
7.3,0.46667
7.3333333333,0.46667
7.3666666667,0.46667
7.4,0.46667
7.4333333333,0.46667
7.4666666667,0.46667
7.5,0.46667
7.5333333333,0.46667
7.5666666667,0.46667
7.6,0.46667
7.6333333333,0.46667
7.6666666667,0.46667
7.7,0.46667
7.7333333333,0.46667
7.7666666667,0.46667
7.8,0.46667
7.8333333333,0.46667
7.8666666667,0.46667
7.9,0.46667
7.9333333333,0.46667
7.9666666667,0.46667
8,0.46667
8.0333333333,0.46667
8.0666666667,0.46667
8.1,0.46667
8.1333333333,0.46667
8.1666666667,0.46667
8.2,0.46667
8.2333333333,0.46667
8.2666666667,0.46667
8.3,0.46667
